"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZFCWNZQQ","journalArticle","2025","Chen, Yisong; Zhao, Chuqing; Xu, Yixin; Nie, Chuanhao; Zhang, Yixin","Deep Learning in Financial Fraud Detection: Innovations, Challenges, and Applications","Data Science and Management","","2666-7649","10.1016/j.dsm.2025.08.002","https://www.sciencedirect.com/science/article/pii/S2666764925000372","This study presents a systematic review of 108 peer-reviewed publications (2019–2024) on the application of deep learning (DL) to financial fraud detection. It examines advances in model architectures, such as Convolutional Neural Networks (CNNs), Long Short-Term Memory (LSTM) networks, transformers, and ensemble methods—across domains including credit cards, insurance, and financial reporting. This review identifies key challenges in data imbalance, automation, explainability, and compliance with data privacy regulations. As a key contribution, this study introduces the Deep Learning–Sector–Governance (DLSG) framework, a novel synthesis that aligns DL methods with sector-specific constraints and regulatory requirements to guide the development of scalable and compliant fraud detection systems. By integrating methodological trends, regulatory shifts, and domain needs, this review offers practical guidance for researchers, industry practitioners, and policymakers working to strengthen fraud mitigation strategies in increasingly complex financial ecosystems.","2025-08-20","2025-10-26 22:31:02","2025-10-26 22:31:02","","","","","","","Data Science and Management","","","","","","","","","","","","","","","","","/Users/damaral/Zotero/storage/LPQ7J592/Chen et al. - 2025 - Deep Learning in Financial Fraud Detection Innovations, Challenges, and Applications.pdf","","Machine Learning; Deep Learning; Financial Fraud; Imbalanced Datasets; Privacy and Compliance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JVIP89SY","journalArticle","2025","Jairi, Idriss; Rekbi, Amelle; Ben-Othman, Sarah; Hammadi, Slim; Canivet, Ludivine; Zgaya-Biau, Hayfa","Enhancing particulate matter risk assessment with novel machine learning-driven toxicity threshold prediction","Engineering Applications of Artificial Intelligence","","0952-1976","10.1016/j.engappai.2024.109531","https://www.sciencedirect.com/science/article/pii/S0952197624016890","Airborne particulate matter (PM) poses significant health risks, necessitating accurate toxicity threshold determination for effective risk assessment. This study introduces a novel machine-learning (ML) approach to predict PM toxicity thresholds and identify the key physico-chemical and exposure characteristics. Five machine learning algorithms — logistic regression, support vector classifier, decision tree, random forest, and extreme gradient boosting — were employed to develop predictive models using a comprehensive dataset from existing studies. We developed models using the initial dataset and a class weight approach to address data imbalance. For the imbalanced data, the Random Forest classifier outperformed others with 87% accuracy, 81% recall, and the fewest false negatives (23). In the class weight approach, the Support Vector Classifier minimized false negatives (21), while the Random Forest model achieved superior overall performance with 86% accuracy, 80% recall, and an F1-score of 82%. Furthermore, eXplainable Artificial Intelligence (XAI) techniques, specifically SHAP (SHapley Additive exPlanations) values, were utilized to quantify feature contributions to predictions, offering insights beyond traditional laboratory approaches. This study represents the first application of machine learning for predicting PM toxicity thresholds, providing a robust tool for health risk assessment. The proposed methodology offers a time- and cost-effective alternative to classical laboratory tests, potentially revolutionizing PM toxicity threshold determination in scientific and epidemiological research. This innovative approach has significant implications for shaping regulatory policies and designing targeted interventions to mitigate health risks associated with airborne PM.","2025-01-01","2025-10-26 22:31:02","2025-10-26 22:31:02","","109531","","","139","","Engineering Applications of Artificial Intelligence","","","","","","","","","","","","","","","","","","","Machine learning; Predictive modeling; Data-driven approach; Environmental monitoring; Particulate matter; Toxicity assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJHZUM6M","journalArticle","2022","Najem, Rihab; Amr, Meryem Fakhouri; Bahnasse, Ayoub; Talea, Mohamed","Artificial Intelligence for Digital Finance, Axes and Techniques","17th International Conference on Future Networks and Communications / 19th International Conference on Mobile Systems and Pervasive Computing / 12th International Conference on Sustainable Energy Information Technology (FNC/MobiSPC/SEIT 2022), August 9-11, 2022, Niagara Falls, Ontario, Canada","","1877-0509","10.1016/j.procs.2022.07.092","https://www.sciencedirect.com/science/article/pii/S1877050922006974","With the emergence of new technologies and the wide adoption of artificial intelligence techniques to make daily tasks much smarter and even predict and anticipate changes, most sectors have gone digital. Finance has also benefited from this movement, thanks to the new form of digital finance or e-finance investors and stakeholders can anticipate the opportune moment to carry out their transactions. E-finance is an active and sensitive area of research because the information processed is money, from which the margin of error must be almost zero to avoid economic crises, sometimes the bankruptcy of individuals or companies. According to our research, this theme is recent, and several efforts have been made in the last decade to develop it. This article will present the scientific progress of e-finance and discuss the main axes in which research is currently concentrated. Finally, we will discuss the prospects for this area of research.","2022-01-01","2025-10-26 22:31:02","2025-10-26 22:31:02","","633-638","","","203","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","artificial intelligence; E-finance; economic crises; predict; transactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97XQBU8A","journalArticle","2025","Badjie, Ansu; Ntuala, Grace Mupoyi; Xia, Qi; Gao, Jianbin; Xia, Hu","MGGPT: A Multi-Graph GPT-enhanced framework for dynamic fraud detection in cryptocurrency networks","Computer Networks","","1389-1286","10.1016/j.comnet.2025.111508","https://www.sciencedirect.com/science/article/pii/S138912862500475X","The rapid increase in cryptocurrency transactions has increased demand for advanced fraud detection systems. Conventional methods are often rigid and do not effectively capture cryptocurrency networks’ intricate temporal and structural patterns, while existing dynamic approaches struggle with incomplete or missing information. To tackle this issue, we present MGGPT, a new hybrid framework that integrates Graph Attention Neural Networks (GAT) with GPT-based transformers to improve fraud detection within cryptocurrency transaction networks. Our approach utilizes temporal graph structures through reachability networks (reach-nets) to derive essential node features, while also directly integrating edge labels into the embedding vectors, and introduces an innovative mechanism for predicting missing information to address the challenges posed by incomplete data in blockchain networks. The model features a dual-perspective learning strategy, employing local graph structures via GAT Networks and global contextual patterns through GPT-based sequence modeling to capture both structural and temporal dynamics in transaction networks. Our MGGPT framework implements a sophisticated edge classification mechanism using Support Vector Machines (SVM) for the final prediction. Experimental findings on actual cryptocurrency transaction datasets indicate superior efficacy in identifying fraudulent patterns, achieving notable improvements of 8.5% AUC, a 10.2% increase in Precision, 29.5% increment in recall, and 20.5% improvement in F1-score. Compared to baseline models such as STA-GT and CTGN, the proposed MGGPT improves the representation of dynamic relationships and faster convergence. Overall, the analysis reveals that our framework is not only more accurate but also more robust and scalable for real-world temporal graph applications. Ultimately, we assessed the robustness of our framework against adversarial attacks to show its practical applications in blockchains.","2025-10-01","2025-10-26 22:31:02","2025-10-26 22:31:02","","111508","","","270","","Computer Networks","","","","","","","","","","","","","","","","","","","Graph neural networks; Cryptocurrency fraud detection; GPT-2 transformers; Missing information prediction; Temporal graph analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RURLW8IN","journalArticle","2024","Singh, Jaswinder; Singh, Damanpreet","A comprehensive review of clustering techniques in artificial intelligence for knowledge discovery: Taxonomy, challenges, applications and future prospects","Advanced Engineering Informatics","","1474-0346","10.1016/j.aei.2024.102799","https://www.sciencedirect.com/science/article/pii/S1474034624004476","Clustering is a set of essential mathematical techniques in artificial intelligence and machine learning for analyzing massive amounts of data generated by applications. Clustering uses data mining approaches to group data points based on their intrinsic characteristics or similarity measures. These measures are essential for data mining tasks such as information retrieval, pattern recognition, classifications, and clustering from the raw data. However, significant efforts are needed to select the appropriate similarity metrics based on the distribution of data points and problem domains. Various clustering approaches and techniques are actively utilized in a variety of disciplines of research, including data science, machine learning, computer science, pattern recognition, computer vision, etc. Some partitional clustering techniques, such as K-Means and density-based clustering, etc., take some sensitive parameters from the user prior to grouping the objects, and variations on these parameters may lead to different results for the same dataset. Some traditional statistical techniques for clustering are unable to find optimal clusters or handle high-dimensional data effectively. The need for a priori requirements of elements, for instance, the number of groups, termination at the local optimum, and expensive computations are some of its limitations that must be solved. To get beyond the aforementioned restrictions, innovative, adaptable, efficient, and hybrid clustering algorithms must be created. This study provides a comprehensive review of the literature on traditional and novel clustering techniques in a cohesive manner, their trending applications in various domains, their summarization, challenges, and future scope. In addition, data clustering embraces various scientific disciplines. Thus, this study will be beneficial and will provide an effective reference point for progressive researchers, analysts, and artificial intelligence professionals to develop novel, flexible, and efficient state-of-the-art clustering techniques.","2024-10-01","2025-10-26 22:31:02","2025-10-26 22:31:02","","102799","","","62","","Advanced Engineering Informatics","","","","","","","","","","","","","","","","","","","Unsupervised learning; Machine learning; Pattern recognition; Automatic data clustering; Data clustering; Hybrid clustering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EDPZUI7","journalArticle","2024","Byrapu Reddy, Surendranadha Reddy; Kanagala, Praneeth; Ravichandran, Prabu; Pulimamidi, Dr Rahul; Sivarambabu, P.V.; Polireddi, Naga Simhadri Apparao","Effective fraud detection in e-commerce: Leveraging machine learning and big data analytics","Measurement: Sensors","","2665-9174","10.1016/j.measen.2024.101138","https://www.sciencedirect.com/science/article/pii/S2665917424001144","Sophisticated cyber-infrastructure and information technology methods are necessary to exploit and analyse the massive amounts of data generated by online transactions. This study introduces a big data platform for online retailers to tackle various issues in the e-commerce industry. Both people and businesses are vulnerable to fraud, which is a worldwide problem. In today's tech-driven society, the battle against fraud has been greatly aided by machine learning (ML) and artificial intelligence (AI). This essay takes a look at the conventional wisdom about fraud prevention and shows how outdated it is when compared to modern fraud techniques. It delves further into the ways in which ML and AI are supporting fast digitization, which in turn revolutionises fraud prevention efforts. Machine learning and artificial intelligence algorithms enable companies to comb through massive amounts of data for patterns and anomalies that could suggest fraudulent activity. In this article, we will explore how machine learning and artificial intelligence may greatly enhance fraud prevention efforts. These technologies can help with advanced data analytics, anomaly detection, and predictive modelling. The text highlights the ways in which these technologies empower organisations to proactively identify and reduce fraud risks, protecting both their operations and stakeholders.","2024-06-01","2025-10-26 22:31:02","2025-10-26 22:31:02","","101138","","","33","","Measurement: Sensors","","","","","","","","","","","","","","","","","","","Big data; Machine learning; Fraud detection; E-commerce; Online transaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AD6M6JYB","journalArticle","2026","Acampora, Giovanni; Chiatto, Angela; Schiattarella, Roberto; Vitiello, Autilia","Quantum artificial intelligence: A survey","Computer Science Review","","1574-0137","10.1016/j.cosrev.2025.100807","https://www.sciencedirect.com/science/article/pii/S1574013725000838","Quantum computing and artificial intelligence are two highly topical fields of research that can benefit from each other’s discoveries by opening a completely new scenario in computation, that of quantum artificial intelligence. Indeed, on the one hand, artificial intelligence algorithms can be made computationally more efficient due to the potential speedup enabled by quantum phenomena; on the other hand, the complex development of quantum computing technologies and methodologies can be properly supported by the use of classical artificial intelligence approaches. The “entanglement” of these two disciplines is opening up completely new directions in computer science research, and this survey aims to provide a systematic and taxonomic overview of the work that has already been done and that which will begin in the near future.","2026-02-01","2025-10-26 22:31:02","2025-10-26 22:31:02","","100807","","","59","","Computer Science Review","","","","","","","","","","","","","","","","","","","Artificial intelligence; Quantum computing; Quantum artificial intelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZKQXQEI","journalArticle","2025","Mudannayake, Oshan; Indika, Amila; Jayasinghe, Upul; Lee, Gyu Myoung; Alawatugoda, Janaka","On Privacy-Preserved Machine Learning Using Secure Multi-Party Computing: Techniques and Trends","Computers, Materials and Continua","","1546-2218","10.32604/cmc.2025.068875","https://www.sciencedirect.com/science/article/pii/S1546221825009014","The rapid adoption of machine learning in sensitive domains, such as healthcare, finance, and government services, has heightened the need for robust, privacy-preserving techniques. Traditional machine learning approaches lack built-in privacy mechanisms, exposing sensitive data to risks, which motivates the development of Privacy-Preserving Machine Learning (PPML) methods. Despite significant advances in PPML, a comprehensive and focused exploration of Secure Multi-Party Computing (SMPC) within this context remains underdeveloped. This review aims to bridge this knowledge gap by systematically analyzing the role of SMPC in PPML, offering a structured overview of current techniques, challenges, and future directions. Using a semi-systematic mapping study methodology, this paper surveys recent literature spanning SMPC protocols, PPML frameworks, implementation approaches, threat models, and performance metrics. Emphasis is placed on identifying trends, technical limitations, and comparative strengths of leading SMPC-based methods. Our findings reveal that while SMPC offers strong cryptographic guarantees for privacy, challenges such as computational overhead, communication costs, and scalability persist. The paper also discusses critical vulnerabilities, practical deployment issues, and variations in protocol efficiency across use cases.","2025-09-23","2025-10-26 22:31:02","2025-10-26 22:31:02","","2527-2578","","2","85","","Computers, Materials and Continua","","","","","","","","","","","","","","","","","","","machine learning; privacy; Cryptography; data privacy; multi-party computation; PPML; SMPC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQVBGYQD","journalArticle","2024","Samadhiya, Ashutosh; Agrawal, Rohit; Kumar, Anil; Luthra, Sunil","Bridging realities into organizations through innovation and productivity: Exploring the intersection of artificial intelligence, internet of things, and big data analytics in the metaverse environment using a multi-method approach","Decision Support Systems","","0167-9236","10.1016/j.dss.2024.114290","https://www.sciencedirect.com/science/article/pii/S0167923624001234","This study investigates how organizations may increase innovation and productivity through the Metaverse environment efficacy (MVEE), Artificial intelligence usage (AIU), Internet of Things usage (IoTU), and Big Data Analytics usage (BDAU). The study gathers responses from the gaming, information technology, and entertainment industries, using a multi-method involving Partial Least Squares Structural Equation Modeling, Fuzzy-set Qualitative Comparative Analysis, and Artificial Neural Networks to investigate how these technologies might be used to improve the linking of disparate realities in a business context. The use of AI in personalized and decision-support applications, IoT for real-time data collecting, and BDAU for an insights-driven strategy all combine to create a dynamic MVEE ecosystem. The research also delves into theoretical implications concerning the viability of using the MVEE to boost innovation and productivity. This research identifies the applications of using AI, IoT, and BDA to drive organizational performance in terms of innovation and productivity. Also, the research lays out the role of AI, IoT, and BDA in creating a dynamic metaverse ecosystem.","2024-10-01","2025-10-26 22:31:02","2025-10-26 22:31:02","","114290","","","185","","Decision Support Systems","","","","","","","","","","","","","","","","","","","Artificial intelligence; Big data analytics; Internet of things; Integration; Metaverse; Task-technology fit theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACGA6SC3","journalArticle","2025","Imjai, Narinthon; Promma, Watcharawat; Visedsun, Nimnual; Usman, Berto; Aujirapongpan, Somnuk","Fraud detection skills of Thai Gen Z accountants: The roles of digital competency, data science literacy and diagnostic skills","International Journal of Information Management Data Insights","","2667-0968","10.1016/j.jjimei.2024.100308","https://www.sciencedirect.com/science/article/pii/S2667096824000971","The issue of accounting fraud presents a significant challenge within the business sector, prompting an increase in scholarly investigations across various contexts. Despite this growing interest, research specifically addressing the Thai context has remained scarce. Thus, this quantitative study aimed to bridge this gap by assessing the proficiency of Thai Gen Z accountants in detecting accounting fraud, with a particular emphasis on their digital, data science, and diagnostic skills. The study collected data from 150 participants using a structured survey questionnaire distributed to licensed accountants affiliated with the Thailand accounting program. It adopted a theoretical framework inspired by social learning theory and information processing theory to examine both direct and mediated relationships among the key variables under investigation. The results were analyzed using Partial Least Squares Structural Equation Modeling (PLS-SEM) to examine these relationships. The results showed that digital competency have significant direct effects on the fraud detection skills, with diagnostic skills playing a key role in the process. The study revealed that digital competency not only furnishes accountants with necessary technological expertise but also bolsters their analytical skills, which are vital for identifying fraudulent activities. Likewise, data science literacy—encompassing skills in predictive analytics, big data management, and data insight communication—significantly enhances accountants' capacity to identify and understand fraudulent patterns. The emergent role of diagnostic skills as a key intermediary emphasizes the importance of comprehensive training programs that foster both technical prowess and critical analytical thinking.","2025-06-01","2025-10-26 22:31:02","2025-10-26 22:31:02","","100308","","1","5","","International Journal of Information Management Data Insights","","","","","","","","","","","","","","","","","","","Data science literacy; Diagnostic skills; Digital competency; Fraud detection skills; Thai Gen Z accountants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
