"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Y4BSSBKV","journalArticle","2025","Talaat, Fatma M.; Medhat, T.; Shaban, Warda M.","Precise fraud detection and risk management with explainable artificial intelligence","Neural Computing and Applications","","0941-0643, 1433-3058","10.1007/s00521-025-11396-y","https://link.springer.com/10.1007/s00521-025-11396-y","","2025-08","2025-10-26 22:43:38","2025-10-26 22:43:38","2025-10-26 22:43:38","19199-19229","","23","37","","Neural Comput & Applic","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/damaral/Zotero/storage/P5XHXTKB/Talaat et al. - 2025 - Precise fraud detection and risk management with explainable artificial intelligence.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FBAJIS78","journalArticle","2025","Khan, Farhina Sardar; Mazhar, Syed Shahid; Mazhar, Kashif; A. AlSaleh, Dhoha; Mazhar, Amir","Model-agnostic explainable artificial intelligence methods in finance: a systematic review, recent developments, limitations, challenges and future directions","Artificial Intelligence Review","","1573-7462","10.1007/s10462-025-11215-9","https://link.springer.com/10.1007/s10462-025-11215-9","","2025-05-03","2025-10-26 22:43:40","2026-01-11 22:19:18","2025-10-26 22:43:40","232","","8","58","","Artif Intell Rev","Model-agnostic explainable artificial intelligence methods in finance","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELFUXU2Y","journalArticle","2025","Mohamed, Nachaat","Artificial intelligence and machine learning in cybersecurity: a deep dive into state-of-the-art techniques and future paradigms","Knowledge and Information Systems","","0219-1377, 0219-3116","10.1007/s10115-025-02429-y","https://link.springer.com/10.1007/s10115-025-02429-y","Abstract             The integration of artificial intelligence (AI) and machine learning (ML) into cybersecurity has driven a transformational shift, significantly enhancing the ability to detect, respond to, and mitigate complex cyber threats. Traditional defense mechanisms are increasingly inadequate against sophisticated attacks, necessitating the adoption of AI-driven security solutions. This review paper presents a novel, in-depth analysis of state-of-the-art AI and ML techniques applied to intrusion detection, malware classification, behavioral analysis, and threat intelligence. Unlike existing studies, this work not only synthesizes current advancements but also identifies key limitations and emerging research gaps in AI-powered cybersecurity. A key novelty of this paper lies in its comprehensive evaluation of adversarial defense mechanisms, addressing how AI models can be hardened against adversarial attacks and data manipulation techniques. Additionally, we explore the growing role of federated learning in collaborative threat intelligence, offering privacy-preserving security models that enhance real-time cyber defense across decentralized networks. Another major contribution is our discussion on the integration of AI with quantum computing for cryptographic resilience, as well as its convergence with IoT security, shaping the next generation of adaptive cybersecurity frameworks. Furthermore, this paper proposes a forward-looking roadmap for sustainable AI-driven cybersecurity, emphasizing the need for adaptive adversarial defense systems, federated learning for global threat mitigation, and AI-enhanced cyber resilience frameworks. By bridging the gap between current AI-driven security solutions and future paradigms, this work serves as a valuable resource for researchers, cybersecurity professionals, and policymakers aiming to develop intelligent, scalable, and resilient cybersecurity architectures. While AI and ML are reshaping modern cybersecurity, their effectiveness hinges on continuous innovation, adversarial robustness, and interdisciplinary collaboration to combat an ever-evolving threat landscape.","2025-08","2025-10-26 22:43:40","2025-10-26 22:43:40","2025-10-26 22:43:40","6969-7055","","8","67","","Knowl Inf Syst","Artificial intelligence and machine learning in cybersecurity","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/damaral/Zotero/storage/53FR6K2X/Mohamed - 2025 - Artificial intelligence and machine learning in cybersecurity a deep dive into state-of-the-art tec.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SCFRQZP","journalArticle","2025","Alzoubi, Yehia Ibrahim; Mishra, Alok","Differential privacy and artificial intelligence: potentials, challenges, and future avenues","EURASIP Journal on Information Security","","2510-523X","10.1186/s13635-025-00203-9","https://jis-eurasipjournals.springeropen.com/articles/10.1186/s13635-025-00203-9","Abstract             Privacy preservation has become an increasingly critical concern in applications where data serves as a cornerstone for decision-making and innovation. Researchers and developers are dedicated to identifying and mitigating emerging risks while improving the privacy of existing systems. Artificial intelligence technologies can dynamically detect and address privacy concerns. Differential privacy, with its strong and verifiable assurances, is critical for addressing rising concerns about data privacy in the age of big data and advanced analytics. Combining differential privacy with AI has been identified as a solution for balancing data usage for insights while maintaining individual privacy. However, research in this field is still scarce due to the recent widespread application of artificial intelligence in many industries. This paper reviews current literature, professional websites, and other online resources to determine the potential, challenges, and future directions of combining differential privacy with AI. The key opportunities identified in this study include enhancing privacy (reported in 27% of the reviewed papers), promoting responsible AI (21%), facilitating data sharing (14.5%), and minimizing AI model biases (12.5%). Several concerns, however, require additional exploration, including accuracy trade-offs, computational complexity, regulatory restrictions, expertise, data usability, scalability constraints, and bias concerns. Given that this combination is still a relatively new field, AI developers and users need to stay current on differential privacy research and implement appropriate measures.","2025-05-29","2025-10-26 22:43:43","2025-10-26 22:43:43","2025-10-26 22:43:43","18","","1","2025","","EURASIP J. on Info. Security","Differential privacy and artificial intelligence","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KVD3X6J","journalArticle","2025","Balkan, Dursun; Akyuz, Goknur Arzu","Artificial intelligence (AI) and machine learning (ML) in procurement and purchasing decision-support (DS): a taxonomic literature review and research opportunities","Artificial Intelligence Review","","1573-7462","10.1007/s10462-025-11336-1","https://link.springer.com/10.1007/s10462-025-11336-1","","2025-08-20","2025-10-26 22:43:44","2025-10-26 22:43:44","2025-10-26 22:43:44","341","","11","58","","Artif Intell Rev","Artificial intelligence (AI) and machine learning (ML) in procurement and purchasing decision-support (DS)","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NXB2V3S","journalArticle","2025","Najem, Rihab; Bahnasse, Ayoub; Fakhouri Amr, Meryem; Talea, Mohamed","Advanced AI and big data techniques in E-finance: a comprehensive survey","Discover Artificial Intelligence","","2731-0809","10.1007/s44163-025-00365-y","https://link.springer.com/10.1007/s44163-025-00365-y","","2025-06-13","2025-10-26 22:43:45","2025-10-26 22:43:45","2025-10-26 22:43:45","102","","1","5","","Discov Artif Intell","Advanced AI and big data techniques in E-finance","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIK734YE","journalArticle","2024","Černevičienė, Jurgita; Kabašinskas, Audrius","Explainable artificial intelligence (XAI) in finance: a systematic literature review","Artificial Intelligence Review","","1573-7462","10.1007/s10462-024-10854-8","https://link.springer.com/10.1007/s10462-024-10854-8","Abstract             As the range of decisions made by Artificial Intelligence (AI) expands, the need for Explainable AI (XAI) becomes increasingly critical. The reasoning behind the specific outcomes of complex and opaque financial models requires a thorough justification to improve risk assessment, minimise the loss of trust, and promote a more resilient and trustworthy financial ecosystem. This Systematic Literature Review (SLR) identifies 138 relevant articles from 2005 to 2022 and highlights empirical examples demonstrating XAI's potential benefits in the financial industry. We classified the articles according to the financial tasks addressed by AI using XAI, the variation in XAI methods between applications and tasks, and the development and application of new XAI methods. The most popular financial tasks addressed by the AI using XAI were credit management, stock price predictions, and fraud detection. The three most commonly employed AI black-box techniques in finance whose explainability was evaluated were Artificial Neural Networks (ANN), Extreme Gradient Boosting (XGBoost), and Random Forest. Most of the examined publications utilise feature importance, Shapley additive explanations (SHAP), and rule-based methods. In addition, they employ explainability frameworks that integrate multiple XAI techniques. We also concisely define the existing challenges, requirements, and unresolved issues in applying XAI in the financial sector.","2024-07-26","2025-10-26 22:43:46","2025-10-26 22:43:46","2025-10-26 22:43:46","216","","8","57","","Artif Intell Rev","Explainable artificial intelligence (XAI) in finance","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/damaral/Zotero/storage/PZ66H2WZ/Černevičienė and Kabašinskas - 2024 - Explainable artificial intelligence (XAI) in finance a systematic literature review.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"892EUN6A","journalArticle","2025","Loeza-Mejía, Cecilia-Irene; Sánchez-DelaCruz, Eddy; José-Guzmán, Irahan-Otoniel","Machine learning methodologies: history and challenges","Evolutionary Intelligence","","1864-5909, 1864-5917","10.1007/s12065-025-01047-5","https://link.springer.com/10.1007/s12065-025-01047-5","","2025-06","2025-10-26 22:43:48","2025-10-26 22:43:48","2025-10-26 22:43:48","58","","3","18","","Evol. Intel.","Machine learning methodologies","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"558EURQ2","journalArticle","2025","Girdhar, Nancy; Raj, Aditya; Sharma, Deepak; Singh, Vinay; Doucet, Antoine; Renz, Matthias","A comprehensive review of frugal artificial intelligence: challenges, applications, and the road to sustainable AI","Soft Computing","","1432-7643, 1433-7479","10.1007/s00500-025-10854-y","https://link.springer.com/10.1007/s00500-025-10854-y","","2025-07","2025-10-26 22:43:49","2025-10-26 22:43:49","2025-10-26 22:43:49","4823-4856","","13-14","29","","Soft Comput","A comprehensive review of frugal artificial intelligence","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBYS4HCK","journalArticle","2025","Mathew, Daniel Enemona; Ebem, Deborah Uzoamaka; Ikegwu, Anayo Chukwu; Ukeoma, Pamela Eberechukwu; Dibiaezue, Ngozi Fidelia","Recent Emerging Techniques in Explainable Artificial Intelligence to Enhance the Interpretable and Understanding of AI Models for Human","Neural Processing Letters","","1573-773X","10.1007/s11063-025-11732-2","https://link.springer.com/10.1007/s11063-025-11732-2","","2025-02-07","2025-10-26 22:43:50","2025-10-26 22:43:50","2025-10-26 22:43:50","16","","1","57","","Neural Process Lett","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/damaral/Zotero/storage/3UGZ4LND/Mathew et al. - 2025 - Recent Emerging Techniques in Explainable Artificial Intelligence to Enhance the Interpretable and U.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
