"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6UKQ57K2","journalArticle","2023","Mill, Eleanor; Garn, Wolfgang; Ryman-Tubb, Nick; Turner, Chris","Opportunities in Real Time Fraud Detection: An Explainable Artificial Intelligence (XAI) Research Agenda","INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS","","2158-107X","","","and technological changes have recently transformed the digital footprint of credit card transactions, providing at least ten times the amount of data available for fraud detection practices that were previously available for analysis. This newly enhanced dataset challenges the scalability of traditional rule-based fraud detection methods and creates an opportunity for wider adoption of artificial intelligence (AI) techniques. However, the opacity of AI models, combined with the high stakes involved in the finance industry, means practitioners have been slow to adapt. In response, this paper argues for more researchers to engage with investigations into the use of Explainable Artificial Intelligence (XAI) techniques for credit card fraud detection. Firstly, it sheds light on recent regulatory changes which are pivotal in driving the adoption of new machine learning (ML) techniques. Secondly, it examines the operating environment for credit card transactions, an understanding of which is crucial for the ability to operationalise solutions. Finally, it proposes a research agenda comprised of four key areas of investigation for XAI, arguing that further work would contribute towards a step-change in fraud detection practices.","2023-05","2025-10-26 22:28:57","2025-10-26 22:28:57","","1172-1186","","5","14","","","","","","","","SCIENCE & INFORMATION SAI ORGANIZATION LTD","","English","","","","","","","Place: 19 BOLLING RD, BRADFORD, WEST YORKSHIRE, 00000, ENGLAND Type: Article","","/Users/damaral/Zotero/storage/NQIT8HNZ/Mill et al. - 2023 - Opportunities in Real Time Fraud Detection An Explainable Artificial Intelligence (XAI) Research Ag.pdf","","Artificial intelligence; machine learning; explainable AI; credit card fraud","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEHHU4MB","journalArticle","2023","Aljabri, Malak; Mohammad, Rami Mustafa A.","Click fraud detection for online advertising using machine learning","EGYPTIAN INFORMATICS JOURNAL","","1110-8665","10.1016/j.eij.2023.05.006","","Advertising corporations have moved their focus to online and in-App advertisements in response to the expansion of digital technologies and social media. Online advertising represents the primary revenue source for advertising networks that serve as the middlemen between advertisers and advertisement publishers. The advertising networks pay the publisher of the advertisement based on the number of clicks through to advertisers, following the pay-per-click (PPC) payment scheme. However, there is a growing security issue with this payment approach known as Click Fraud. Click fraud is the illegal process of clicking on pay-per-click advertisements to increase publishers' revenue or deplete advertisers' bud-gets. Artificial intelligence techniques have been increasingly employed to solve complicated challenges in different research areas, including cybersecurity, to achieve unexpected outcomes. In this paper, sev-eral Machine Learning models were constructed to establish whether the user is a human or a bot and conducted a comparative performance analysis using a set of evaluation metrics. We used a real captured dataset detailing Internet users' behavior while navigating websites. We extracted a set of features related to users' behaviors, including the number of webpages viewed during the browsing session, the duration of the browsing journey, and the actions performed. The empirical results revealed that all the considered models obtained good results, where the random forest algorithm surpassed all other algorithms in all evaluation metrics.(c) 2023 THE AUTHORS. Published by Elsevier BV on behalf of Faculty of Computers and Artificial Intel-ligence, Cairo University. This is an open access article under the CC BY-NC-ND license (http://creative-commons.org/licenses/by-nc-nd/4.0/).","2023-07","2025-10-26 22:28:57","2025-10-26 22:28:57","","341-350","","2","24","","","","","","","","CAIRO UNIV, FAC COMPUTERS & INFORMATION","","English","","","","","","","Place: AHMED ZEWAIL, AD DOQI, GIZA GOVERNORATE, 00000, EGYPT Type: Article","","","","Machine learning; Fraud; Bot detection; Click fraud; Online-advertising; Pay-per-click; Web-Journy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GYUYFLB","journalArticle","2025","du Preez, Anli; Bhattacharya, Sanmitra; Beling, Peter; Bowen, Edward","Fraud detection in healthcare claims using machine learning: A systematic review","ARTIFICIAL IN℡LIGENCE IN MEDICINE","","0933-3657","10.1016/j.artmed.2024.103061","","Objective: Identifying fraud in healthcare programs is crucial, as an estimated 3%-10% of the total healthcare expenditures are lost to fraudulent activities. This study presents a systematic literature review of machine learning techniques applied to fraud detection in health insurance claims. We aim to analyze the data and methodologies documented in the literature over the past two decades, providing insights into research challenges and opportunities. Methods: We identified research studies on health insurance fraud detection using machine learning approaches from databases such as Google Scholar, Springer-Link journals, Elsevier, PubMed, Excerpta Medica Database (EMBASE), Scopus, the Association for Computing Machinery (ACM) Digital Library, and the Institute of Electrical and Electronics Engineers (IEEE) Xplore Digital Library. We included only articles that presented experimental results of machine learning-based approaches applied to healthcare claims. From the reviewed articles, 137 were selected for the final qualitative and quantitative analyses. Results: In recent years, there has been a surge in publications centered on the use of machine learning to detect health insurance fraud. Among these studies, those focused on the detection of fraud committed by healthcare providers was the most prevalent, followed by fraud committed by patients. A wide variety of machine learning algorithms are highlighted in these studies, ranging from unsupervised (41 studies) and supervised methods (94 studies), to hybrid approaches (12 studies). While traditional machine learning approaches remain dominant in this research area, the adoption of advanced deep learning techniques is on the rise. Considering the type of healthcare claims data used, 30 studies utilized private data sources, while the rest used publicly available datasets. Data from 16 countries were utilized, with a majority coming from the United States (96 studies), followed by China (11 studies) and Australia (5 studies). Discussion and Conclusion: Detecting fraud in healthcare claims using machine learning presents several challenges. These include inconsistent data, absence of data standardization and integration, privacy concerns, and a limited number of labeled fraudulent cases to train models on. Future work should focus on enhancing transparency in data preparation, promoting the sharing of fraud investigation outcomes by authorities, and developing benchmark datasets to enhance accessibility and comparability. Furthermore, innovative techniques in data sampling, feature encoding methods for training machine learning models, and exploring the latest advancements in deep learning can significantly advance research in health insurance fraud detection.","2025-02","2025-10-26 22:28:58","2025-10-26 22:28:58","","","","","160","","","","","","","","ELSEVIER","","English","","","","","","","Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Type: Review","","","","Deep learning; Machine learning; Fraud detection; Systematic review; Health insurance claims","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HWRQSXX2","journalArticle","2024","Chen, Chiao-Ting; Lee, Chi; Huang, Szu-Hao; Peng, Wen-Chih","Credit Card Fraud Detection via Intelligent Sampling and Self-supervised Learning","ACM TRANSACTIONS ON IN℡LIGENT SYSTEMS AND TECHNOLOGY","","2157-6904","10.1145/3641283","","The significant increase in credit card transactions can be attributed to the rapid growth of online shopping and digital payments, particularly during the COVID-19 pandemic. To safeguard cardholders, e-commerce companies, and financial institutions, the implementation of an effective and real-time fraud detectionmethod using modern artificial intelligence techniques is imperative. However, the development of machine-learning-based approaches for fraud detection faces challenges such as inadequate transaction representation, noise labels, and data imbalance. Additionally, practical considerations like dynamic thresholds, concept drift, and verification latency need to be appropriately addressed. In this study, we designed a fraud detection method that accurately extracts a series of spatial and temporal representative features to precisely describe credit card transactions. Furthermore, several auxiliary self-supervised objectives were developed to model cardholders' behavior sequences. By employing intelligent sampling strategies, potential noise labels were eliminated, thereby reducing the level of data imbalance. The developed method encompasses various innovative functions that cater to practical usage requirements. We applied this method to two real-world datasets, and the results indicated a higher F1 score compared to the most commonly used online fraud detection methods.","2024-04","2025-10-26 22:28:58","2025-10-26 22:28:58","","","","2","15","","","","","","","","ASSOC COMPUTING MACHINERY","","English","","","","","","","Place: 1601 Broadway, 10th Floor, NEW YORK, NY USA Type: Article","","","","credit card fraud detection; discriminative representation; feature engineering; intelligent sampling; Self-supervised learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YFAAQH77","journalArticle","2025","Khan, Farhina Sardar; Mazhar, Syed Shahid; Mazhar, Kashif; AlSaleh, Dhoha A.; Mazhar, Amir","Model-agnostic explainable artificial intelligence methods in finance: a systematic review, recent developments, limitations, challenges and future directions","ARTIFICIAL IN℡LIGENCE REVIEW","","0269-2821","10.1007/s10462-025-11215-9","","The increasing integration of Artificial Intelligence (AI) and Machine Learning (ML)-algorithms that enable computers to identify patterns from data-in financial applications has significantly improved predictive capabilities in areas such as credit scoring, fraud detection, portfolio management, and risk assessment. Despite these advancements, the opaque, “black box” nature of many AI and ML models raises critical concerns related to transparency, trust, and regulatory compliance. Explainable Artificial Intelligence (XAI) aims to address these issues by providing interpretable and transparent decision-making processes. This study systematically reviews Model-Agnostic Explainable AI techniques, which can be applied across different types of ML models in finance, to evaluate their effectiveness, scalability, and practical applicability. Through analysis of 150 peer-reviewed studies, the paper identifies key challenges, such as balancing interpretability with predictive accuracy, managing computational complexity, and meeting regulatory requirements. The review highlights emerging trends toward hybrid models that combine powerful ML algorithms with interpretability techniques, real-time explanations suitable for dynamic financial markets, and XAI frameworks explicitly designed to align with regulatory standards. The study concludes by outlining specific future research directions, including the development of computationally efficient explainability methods, regulatory-compliant frameworks, and ethical AI solutions to ensure transparent and accountable financial decision-making.","2025-05-03","2025-10-26 22:28:58","2025-10-26 22:28:58","","","","8","58","","","","","","","","SPRINGER","","English","","","","","","","Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Type: Article","","","","Finance; Artificial intelligence; Machine learning; Transparency; Explainable AI; Regulatory compliance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IIQW4T43","journalArticle","2025","Dritsas, Elias; Trigka, Maria","Machine Learning in E-Commerce: Trends, Applications, and Future Challenges","IEEE ACCESS","","2169-3536","10.1109/ACCESS.2025.3572865","","The rapid evolution of e-commerce has been significantly influenced by the integration of machine learning (ML) and data science techniques. The present survey provides a comprehensive overview of how ML methods are applied across various functional domains in e-commerce, including personalized recommendations, dynamic pricing, fraud detection, customer segmentation, and behavioral analysis. We categorize and evaluate a wide range of ML paradigms, namely supervised, unsupervised, reinforcement, and hybrid learning, as well as emerging approaches such as neurosymbolic artificial intelligence (AI), federated learning (FL), and quantum ML (QML). Key challenges related to scalability, interpretability, cold-start problems, data sparsity, and privacy are critically analyzed. Additionally, we highlight underexplored areas, such as continual learning (CL) and multi-agent architectures in commerce. The survey incorporates comparative tables, real-world use cases, and a taxonomy of methods to support both academic and industrial perspectives. Ultimately, by analyzing trends and gaps in the literature, we provide a forward-looking research roadmap that bridges ML innovations with the evolving demands of e-commerce ecosystems.","2025","2025-10-26 22:28:58","2025-10-26 22:28:58","","99048-99067","","","13","","","","","","","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","","English","","","","","","","Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Type: Article","","","","Artificial intelligence; Machine learning; Fraud; Data models; Predictive models; Real-time systems; e-commerce; Surveys; Computational modeling; predictive analytics; Electronic commerce; optimization; personalization; Pricing; recommendation systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Q3EMF26","journalArticle","2024","Kuppan, Karthigeyan; Acharya, Deepak Bhaskar; Divya, B.","Foundational AI in Insurance and Real Estate: A Survey of Applications, Challenges, and Future Directions","IEEE ACCESS","","2169-3536","10.1109/ACCESS.2024.3509918","","This paper provides a comprehensive survey on the applications, challenges, and future directions of Artificial Intelligence (AI) in the insurance and real estate sectors. We explore key AI-driven solutions, such as advanced risk assessment, predictive analytics for fraud detection, and smart building management, highlighting their impact on enhancing operational efficiency and decision-making processes. The survey covers a wide range of AI techniques, including machine learning, deep learning, and natural language processing, and discusses their specific applications within these industries. We address critical challenges, such as data quality issues, the need for model interpretability, regulatory compliance, and integration with existing systems. Additionally, we identify emerging trends, such as the adoption of reinforcement learning for dynamic pricing and the use of AI for personalized insurance products. The paper concludes by outlining significant research gaps and proposing a roadmap for future work, aimed at guiding the development of more robust, explainable, and ethically sound AI applications in insurance and real estate.","2024","2025-10-26 22:28:58","2025-10-26 22:28:58","","181282-181302","","","12","","","","","","","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","","English","","","","","","","Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Type: Article","","","","Artificial intelligence; Insurance; Risk management; Fraud; Ethics; machine learning; Industries; Business; Surveys; Reviews; Natural language processing; real estate; deep learning; computer vision; insurance; natural language processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NH8XUK6","journalArticle","2025","Tayebi, Mohammed; El Kafhali, Said","Generative Modeling for Imbalanced Credit Card Fraud Transaction Detection","JOURNAL OF CYBERSECURITY AND PRIVACY","","","10.3390/jcp5010009","","The increasing sophistication of fraud tactics necessitates advanced detection methods to protect financial assets and maintain system integrity. Various approaches based on artificial intelligence have been proposed to identify fraudulent activities, leveraging techniques such as machine learning and deep learning. However, class imbalance remains a significant challenge. We propose several solutions based on advanced generative modeling techniques to address the challenges posed by class imbalance in fraud detection. Class imbalance often hinders the performance of machine learning models by limiting their ability to learn from minority classes, such as fraudulent transactions. Generative models offer a promising approach to mitigate this issue by creating realistic synthetic samples, thereby enhancing the model's ability to detect rare fraudulent cases. In this study, we introduce and evaluate multiple generative models, including Variational Autoencoders (VAEs), standard Autoencoders (AEs), Generative Adversarial Networks (GANs), and a hybrid Autoencoder-GAN model (AE-GAN). These models aim to generate synthetic fraudulent samples to balance the dataset and improve the model's learning capacity. Our primary objective is to compare the performance of these generative models against traditional oversampling techniques, such as SMOTE and ADASYN, in the context of fraud detection. We conducted extensive experiments using a real-world credit card dataset to evaluate the effectiveness of our proposed solutions. The results, measured using the BEFS metrics, demonstrate that our generative models not only address the class imbalance problem more effectively but also outperform conventional oversampling methods in identifying fraudulent transactions.","2025-03-17","2025-10-26 22:28:58","2025-10-26 22:28:58","","","","1","5","","","","","","","","MDPI","","English","","","","","","","Place: MDPI AG, Grosspeteranlage 5, CH-4052 BASEL, SWITZERLAND Type: Article","","/Users/damaral/Zotero/storage/5ZJNIM4Y/Tayebi and El Kafhali - 2025 - Generative Modeling for Imbalanced Credit Card Fraud Transaction Detection.pdf","","fraud detection; class imbalance; deep learning; autoencoder; generative adversarial neural network; generative models; variational autoencoder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JU3MXQIB","journalArticle","2024","Mutemi, Abed; Bacao, Fernando","E-Commerce Fraud Detection Based on Machine Learning Techniques: Systematic Literature Review","BIG DATA MINING AND ANALYTICS","","","10.26599/BDMA.2023.9020023","","The e-commerce industry's rapid growth, accelerated by the COVID-19 pandemic, has led to an alarming increase in digital fraud and associated losses. To establish a healthy e-commerce ecosystem, robust cyber security and anti-fraud measures are crucial. However, research on fraud detection systems has struggled to keep pace due to limited real-world datasets. Advances in artificial intelligence, Machine Learning (ML), and cloud computing have revitalized research and applications in this domain. While ML and data mining techniques are popular in fraud detection, specific reviews focusing on their application in e-commerce platforms like eBay and Facebook are lacking depth. Existing reviews provide broad overviews but fail to grasp the intricacies of ML algorithms in the e-commerce context. To bridge this gap, our study conducts a systematic literature review using the Preferred Reporting Items for Systematic reviews and Meta-Analysis (PRISMA) methodology. We aim to explore the effectiveness of these techniques in fraud detection within digital marketplaces and the broader e-commerce landscape. Understanding the current state of the literature and emerging trends is crucial given the rising fraud incidents and associated costs. Through our investigation, we identify research opportunities and provide insights to industry stakeholders on key ML and data mining techniques for combating e-commerce fraud. Our paper examines the research on these techniques as published in the past decade. Employing the PRISMA approach, we conducted a content analysis of 101 publications, identifying research gaps, recent techniques, and highlighting the increasing utilization of artificial neural networks in fraud detection within the industry.","2024-06","2025-10-26 22:28:58","2025-10-26 22:28:58","","419-444","","2","7","","","","","","","","TSINGHUA UNIV PRESS","","English","","","","","","","Place: B605D, XUE YAN BUILDING, BEIJING, 100084, PEOPLES R CHINA Type: Article","","","","Machine learning; E-commerce; Industries; Surveys; Systematics; Reviews; fraud detection; Machine Learning (ML); Focusing; Bibliographies; organized retail fraud; systematic review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6JZGRM8","journalArticle","2023","Almazroi, Abdulwahab Ali; Ayub, Nasir","Online Payment Fraud Detection Model Using Machine Learning Techniques","IEEE ACCESS","","2169-3536","10.1109/ACCESS.2023.3339226","","In a world where wireless communications are critical for transferring massive quantities of data while protecting against interference, the growing possibility of financial fraud has become a significant concern. The ResNeXt-embedded Gated Recurrent Unit (GRU) model (RXT) is a unique artificial intelligence approach precisely created for real-time financial transaction data processing. Motivated by the need to address the rising threat of financial fraud, which poses major risks to financial institutions and customers, our artificial intelligence technique takes a systematic approach. We commence the process with artificial intelligence data input and preprocessing, mitigating data imbalance using the SMOTE. Feature extraction uses an artificial intelligence ensemble approach that combines autoencoders and ResNet (EARN) to reveal critical data patterns, while feature engineering further enhances the model's discriminative capabilities. The core of our artificial intelligence classification task lies in the RXT model, fine-tuned with hyperparameters using the Jaya optimization algorithm (RXT-J). Our artificial intelligence model undergoes comprehensive evaluation on three authentic financial transaction datasets, consistently outperforming existing algorithms by a substantial margin of 10% to 18% across various evaluation metrics while maintaining impressive computational efficiency. This pioneering artificial intelligence research represents a significant advancement in the ongoing battle against financial fraud, promising heightened security and optimized efficiency in financial transactions. In defense against wireless communication interference, our artificial intelligence work aims to strengthen security, data availability, reliability, and stability against cyber warfare attacks within the financial industry.","2023","2025-10-26 22:28:58","2025-10-26 22:28:58","","137188-137203","","","11","","","","","","","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","","English","","","","","","","Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Type: Article","","/Users/damaral/Zotero/storage/EFXWA3HW/Almazroi and Ayub - 2023 - Online Payment Fraud Detection Model Using Machine Learning Techniques.pdf","","classification; detection; deep learning; cyber attacks; Financial transaction fraud; fraud defense mechanism; optimization methods; ResNeXt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
