"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HFN6M4K9","preprint","2025","Deng, Tingting; Bi, Shuochen; Xiao, Jue","Transformer-Based Financial Fraud Detection with Cloud-Optimized Real-Time Streaming","","","","10.48550/arXiv.2501.19267","http://arxiv.org/abs/2501.19267","As the financial industry becomes more interconnected and reliant on digital systems, fraud detection systems must evolve to meet growing threats. Cloud-enabled Transformer models present a transformative opportunity to address these challenges. By leveraging the scalability, flexibility, and advanced AI capabilities of cloud platforms, companies can deploy fraud detection solutions that adapt to real-time data patterns and proactively respond to evolving threats. Using the Graph self-attention Transformer neural network module, we can directly excavate gang fraud features from the transaction network without constructing complicated feature engineering. Finally, the fraud prediction network is combined to optimize the topological pattern and the temporal transaction pattern to realize the high-precision detection of fraudulent transactions. The results of antifraud experiments on credit card transaction data show that the proposed model outperforms the 7 baseline models on all evaluation indicators: In the transaction fraud detection task, the average accuracy (AP) increased by 20% and the area under the ROC curve (AUC) increased by 2.7% on average compared with the benchmark graph attention neural network (GAT), which verified the effectiveness of the proposed model in the detection of credit card fraud transactions.","2025-01-31","2025-10-25 22:15:52","2025-10-25 22:15:52","2025-10-25 22:15:52","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2501.19267 [cs]","","/Users/damaral/Zotero/storage/MMDW9CA6/Deng et al. - 2025 - Transformer-Based Financial Fraud Detection with Cloud-Optimized Real-Time Streaming.pdf; /Users/damaral/Zotero/storage/5CHFYP4C/2501.html","","","Computer Science - Computational Engineering, Finance, and Science","","","","","","","","","","","","","","","","","","","arXiv:2501.19267","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RPWGBP7M","journalArticle","2025","Tayebi, Mohammed; El Kafhali, Said","A novel approach based on XGBoost classifier and Bayesian optimization for credit card fraud detection","Cyber Security and Applications","","27729184","10.1016/j.csa.2025.100093","https://linkinghub.elsevier.com/retrieve/pii/S2772918425000104","","2025-12","2025-10-25 22:19:45","2025-10-25 22:19:45","2025-10-25 22:19:45","100093","","","3","","Cyber Security and Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/damaral/Zotero/storage/BQDST39V/Tayebi and El Kafhali - 2025 - A novel approach based on XGBoost classifier and Bayesian optimization for credit card fraud detecti.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6UKQ57K2","journalArticle","2023","Mill, Eleanor; Garn, Wolfgang; Ryman-Tubb, Nick; Turner, Chris","Opportunities in Real Time Fraud Detection: An Explainable Artificial Intelligence (XAI) Research Agenda","INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS","","2158-107X","","","and technological changes have recently transformed the digital footprint of credit card transactions, providing at least ten times the amount of data available for fraud detection practices that were previously available for analysis. This newly enhanced dataset challenges the scalability of traditional rule-based fraud detection methods and creates an opportunity for wider adoption of artificial intelligence (AI) techniques. However, the opacity of AI models, combined with the high stakes involved in the finance industry, means practitioners have been slow to adapt. In response, this paper argues for more researchers to engage with investigations into the use of Explainable Artificial Intelligence (XAI) techniques for credit card fraud detection. Firstly, it sheds light on recent regulatory changes which are pivotal in driving the adoption of new machine learning (ML) techniques. Secondly, it examines the operating environment for credit card transactions, an understanding of which is crucial for the ability to operationalise solutions. Finally, it proposes a research agenda comprised of four key areas of investigation for XAI, arguing that further work would contribute towards a step-change in fraud detection practices.","2023-05","2025-10-26 22:28:57","2025-10-26 22:28:57","","1172-1186","","5","14","","","","","","","","SCIENCE & INFORMATION SAI ORGANIZATION LTD","","English","","","","","","","Place: 19 BOLLING RD, BRADFORD, WEST YORKSHIRE, 00000, ENGLAND Type: Article","","/Users/damaral/Zotero/storage/NQIT8HNZ/Mill et al. - 2023 - Opportunities in Real Time Fraud Detection An Explainable Artificial Intelligence (XAI) Research Ag.pdf","","Artificial intelligence; machine learning; explainable AI; credit card fraud","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NH8XUK6","journalArticle","2025","Tayebi, Mohammed; El Kafhali, Said","Generative Modeling for Imbalanced Credit Card Fraud Transaction Detection","JOURNAL OF CYBERSECURITY AND PRIVACY","","","10.3390/jcp5010009","","The increasing sophistication of fraud tactics necessitates advanced detection methods to protect financial assets and maintain system integrity. Various approaches based on artificial intelligence have been proposed to identify fraudulent activities, leveraging techniques such as machine learning and deep learning. However, class imbalance remains a significant challenge. We propose several solutions based on advanced generative modeling techniques to address the challenges posed by class imbalance in fraud detection. Class imbalance often hinders the performance of machine learning models by limiting their ability to learn from minority classes, such as fraudulent transactions. Generative models offer a promising approach to mitigate this issue by creating realistic synthetic samples, thereby enhancing the model's ability to detect rare fraudulent cases. In this study, we introduce and evaluate multiple generative models, including Variational Autoencoders (VAEs), standard Autoencoders (AEs), Generative Adversarial Networks (GANs), and a hybrid Autoencoder-GAN model (AE-GAN). These models aim to generate synthetic fraudulent samples to balance the dataset and improve the model's learning capacity. Our primary objective is to compare the performance of these generative models against traditional oversampling techniques, such as SMOTE and ADASYN, in the context of fraud detection. We conducted extensive experiments using a real-world credit card dataset to evaluate the effectiveness of our proposed solutions. The results, measured using the BEFS metrics, demonstrate that our generative models not only address the class imbalance problem more effectively but also outperform conventional oversampling methods in identifying fraudulent transactions.","2025-03-17","2025-10-26 22:28:58","2025-10-26 22:28:58","","","","1","5","","","","","","","","MDPI","","English","","","","","","","Place: MDPI AG, Grosspeteranlage 5, CH-4052 BASEL, SWITZERLAND Type: Article","","/Users/damaral/Zotero/storage/5ZJNIM4Y/Tayebi and El Kafhali - 2025 - Generative Modeling for Imbalanced Credit Card Fraud Transaction Detection.pdf","","fraud detection; class imbalance; deep learning; autoencoder; generative adversarial neural network; generative models; variational autoencoder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6JZGRM8","journalArticle","2023","Almazroi, Abdulwahab Ali; Ayub, Nasir","Online Payment Fraud Detection Model Using Machine Learning Techniques","IEEE ACCESS","","2169-3536","10.1109/ACCESS.2023.3339226","","In a world where wireless communications are critical for transferring massive quantities of data while protecting against interference, the growing possibility of financial fraud has become a significant concern. The ResNeXt-embedded Gated Recurrent Unit (GRU) model (RXT) is a unique artificial intelligence approach precisely created for real-time financial transaction data processing. Motivated by the need to address the rising threat of financial fraud, which poses major risks to financial institutions and customers, our artificial intelligence technique takes a systematic approach. We commence the process with artificial intelligence data input and preprocessing, mitigating data imbalance using the SMOTE. Feature extraction uses an artificial intelligence ensemble approach that combines autoencoders and ResNet (EARN) to reveal critical data patterns, while feature engineering further enhances the model's discriminative capabilities. The core of our artificial intelligence classification task lies in the RXT model, fine-tuned with hyperparameters using the Jaya optimization algorithm (RXT-J). Our artificial intelligence model undergoes comprehensive evaluation on three authentic financial transaction datasets, consistently outperforming existing algorithms by a substantial margin of 10% to 18% across various evaluation metrics while maintaining impressive computational efficiency. This pioneering artificial intelligence research represents a significant advancement in the ongoing battle against financial fraud, promising heightened security and optimized efficiency in financial transactions. In defense against wireless communication interference, our artificial intelligence work aims to strengthen security, data availability, reliability, and stability against cyber warfare attacks within the financial industry.","2023","2025-10-26 22:28:58","2025-10-26 22:28:58","","137188-137203","","","11","","","","","","","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","","English","","","","","","","Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Type: Article","","/Users/damaral/Zotero/storage/EFXWA3HW/Almazroi and Ayub - 2023 - Online Payment Fraud Detection Model Using Machine Learning Techniques.pdf","","classification; detection; deep learning; cyber attacks; Financial transaction fraud; fraud defense mechanism; optimization methods; ResNeXt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q9V93FXR","journalArticle","2025","Hafez, Ibrahim Y.; Hafez, Ahmed Y.; Saleh, Ahmed; Abd El-Mageed, Amr A.; Abohany, Amr A.","A systematic review of AI-enhanced techniques in credit card fraud detection","JOURNAL OF BIG DATA","","","10.1186/s40537-024-01048-8","","The rapid increase of fraud attacks on banking systems, financial institutions, and even credit card holders demonstrate the high demand for enhanced fraud detection (FD) systems for these attacks. This paper provides a systematic review of enhanced techniques using Artificial Intelligence (AI), machine learning (ML), deep learning (DL), and meta-heuristic optimization (MHO) algorithms for credit card fraud detection (CCFD). Carefully selected recent research papers have been investigated to examine the effectiveness of these AI-integrated approaches in recognizing a wide range of fraud attacks. These AI techniques were evaluated and compared to discover the advantages and disadvantages of each one, leading to the exploration of existing limitations of ML or DL-enhanced models. Discovering the limitation is crucial for future work and research to increase the effectiveness and robustness of various AI models. The key finding from this study demonstrates the need for continuous development of AI models that could be alert to the latest fraudulent activities.","2025-01-14","2025-10-26 22:28:58","2025-10-26 22:28:58","","","","1","12","","","","","","","","SPRINGERNATURE","","English","","","","","","","Place: CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND Type: Article","","/Users/damaral/Zotero/storage/Z8F4V2X9/Hafez et al. - 2025 - A systematic review of AI-enhanced techniques in credit card fraud detection.pdf","","Cybersecurity; Machine learning (ML); Credit card fraud detection (CCFD); Deep learning (DL); Fraud attacks; Fraud detection (FD); Meta-heuristic optimization (MHO)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NVJB6VG7","conferencePaper","2021","Ouedraogo, Abdoul-Fatao; Heuchenne, Cedric; Nguyen, Quoc-Thong; Tran, Hien","Data-Driven Approach for Credit Card Fraud Detection with Autoencoder and One-Class Classification Techniques","ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: ARTIFICIAL INTELLIGENCE FOR SUSTAINABLE AND RESILIENT PRODUCTION SYSTEMS, APMS 2021, PT I","978-3-030-85874-2 978-3-030-85873-5","1868-4238","10.1007/978-3-030-85874-2_4","","With the development of e-commerce, payment by credit card has become an essential means for the purchases of goods and services online. Especially, the Manufacturing Sector faces a high risk of fraud online payment. Its high turnover is the reason making this sector is lucrative with fraud. This gave rise to fraudulent activity on the accounts of private users, banks, and other services. For this reason, in recent years, many studies have been carried out using machine learning techniques to detect and block fraudulent transactions. This article aims to present a new approach based on real-time data combining two methods for the detection of credit card fraud. We first use the variational autoencoder(VAE) to obtain representations of normal transactions, and then we train a support vector data description (SVDD) model with these representations. The advantage of the representation learned automatically by the variational autoencoder is that it makes the data smoother, which makes it possible to increase the detection performance of one-class classification methods. The performance evaluation of the proposed model is done on real data from European credit cardholders. Our experiments show that our approach has obtained good results with a very high fraud detection rate.","2021","2025-10-26 22:28:58","2026-03-17 23:28:58","","31-38","","","630","","","","IFIP Advances in Information and Communication Technology","","","","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND","English","","","","","","","Backup Publisher: Int Fed Informat Proc Working Grp 5 7 Advances Prod Management Syst; IMT Atlantique, Campus Nantes; Univ Nantes, Centrale Nantes; Rennes Business Sch; Audecia Business Sch Type: Article; Proceedings Paper","","/Users/damaral/Zotero/storage/3V4NU49L/Ouedraogo et al. - 2021 - Data-Driven Approach for Credit Card Fraud Detection with Autoencoder and One-Class Classification T.pdf","","Credit card fraud; Autoencoder; Anomalies detection; One class classification; Outliers; Variational autoencoder","","Dolgui, A; Bernard, A; Lemoine, D; VonCieminski, G; Romero, D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGUXCAFD","journalArticle","2025","Sarna, Nusrat Jahan; Rithen, Farzana Ahmed; Jui, Umme Salma; Belal, Sayma; Amin, Al; Oishee, Tasnim Kabir; Islam, A. K. M. Muzahidul","AI Driven Fraud Detection Models in Financial Networks: A Comprehensive Systematic Review","IEEE ACCESS","","2169-3536","10.1109/ACCESS.2025.3596060","","Rapid advancements in digital innovation and globalization has significantly increased the complexity of financial networks, making them more vulnerable to fraud. Traditional fraud detection methods struggle to keep pace with evolving fraudulent strategies, contributing to an estimated global financial loss of $ 5 trillion. In response, this review paper explores the role of artificial intelligence (AI) in financial fraud detection, highlighting machine learning (ML), deep learning (DL), and hybrid models as transformative solutions. By analyzing vast datasets, AI can uncover hidden fraud patterns and dynamically adapt to emerging threats. Techniques such as supervised and unsupervised learning, along with advanced approaches like Graph Neural Networks (GNNs), have proven particularly effective in detecting various types of financial fraud, including payment fraud, identity theft, and money laundering. This paper presents a comprehensive taxonomy of AI-driven fraud detection methodologies, synthesizing insights from a substantial number of research papers. It systematically categorizes fraud detection techniques based on their application in different types of fraud, providing a structured framework to understand their effectiveness. In addition, it examines the role of cloud computing, edge AI, and distributed systems in enabling real-time transaction monitoring and fraud detection. Although AI significantly improves detection accuracy, reduces operational costs, and strengthens regulatory compliance, challenges such as model explainability, data privacy concerns, algorithmic bias, and the dynamic nature of fraud remain critical barriers to widespread adoption. Our review highlights the need for collaborative efforts among financial institutions, regulators, and technology providers to address these challenges. Future research should focus on improving the transparency of the AI model, integrating AI with blockchain for secure data sharing, and leveraging federated learning to enhance fraud detection capabilities. By addressing these challenges, AI can play a pivotal role in securing financial systems, minimizing fraud risks, and fostering cross-industry collaboration for more resilient fraud detection frameworks.","2025","2025-10-26 22:28:58","2025-10-26 22:28:58","","141204-141233","","","13","","","","","","","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","","English","","","","","","","Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Type: Review","","/Users/damaral/Zotero/storage/8J7HMCMD/Sarna et al. - 2025 - AI Driven Fraud Detection Models in Financial Networks A Comprehensive Systematic Review.pdf","","Finance; Artificial intelligence; Deep learning; Fraud; Fraud detection; Data models; Real-time systems; Credit cards; Biological system modeling; Reviews; Analytical models; financial fraud; anomaly detection; AI models; financial networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EN4GUMUZ","journalArticle","2024","Mienye, Ibomoiye Domor; Jere, Nobert","Deep Learning for Credit Card Fraud Detection: A Review of Algorithms, Challenges, and Solutions","IEEE ACCESS","","2169-3536","10.1109/ACCESS.2024.3426955","","Deep learning (DL), a branch of machine learning (ML), is the core technology in today's technological advancements and innovations. Deep learning-based approaches are the state-of-the-art methods used to analyse and detect complex patterns in large datasets, such as credit card transactions. However, most credit card fraud models in the literature are based on traditional ML algorithms, and recently, there has been a rise in applications based on deep learning techniques. This study reviews the recent DL-based literature and presents a concise description and performance comparison of the widely used DL techniques, including convolutional neural network (CNN), simple recurrent neural network (RNN), long short-term memory (LSTM), and gated recurrent unit (GRU). Additionally, an attempt is made to discuss suitable performance metrics, common challenges encountered when training credit card fraud models using DL architectures and potential solutions, which are lacking in previous studies and would benefit deep learning researchers and practitioners. Meanwhile, the experimental results and analysis using a real-world dataset indicate the robustness of the deep learning architectures in credit card fraud detection.","2024","2025-10-26 22:28:58","2025-10-26 22:28:58","","96893-96910","","","12","","","","","","","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","","English","","","","","","","Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Type: Review","","/Users/damaral/Zotero/storage/5C26KRAM/Mienye and Jere - 2024 - Deep Learning for Credit Card Fraud Detection A Review of Algorithms, Challenges, and Solutions.pdf","","Credit card; machine learning; deep learning; CNN; LSTM; fraud detectio; GRU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNWITSAZ","journalArticle","2025","Alutaibi, Ahmed I.","Blockchain Analytics Based on Artificial Intelligence: Using Machine Learning for Improved Transaction Analysis","IET INFORMATION SECURITY","","1751-8709","10.1049/ise2/5560771","","Blockchain technology has reshaped numerous industries by providing secure and transparent transactional platforms. This paper delves into the intersection of blockchain analytics and artificial intelligence (AI) to advance transaction analysis. The primary aim is to bolster fraud detection and enhance transaction efficiency. Through a comprehensive literature review, we identify gaps in existing knowledge and lay the groundwork for our research. We introduce a novel transaction-hybrid model developed using machine learning (ML) algorithms, including support vector machines (SVMs), K-nearest neighbors (KNNs), and random forest (RF). This transact-hybrid model aims to fortify fraud detection capabilities by harnessing the strengths of each algorithm. We curate a unique dataset comprising 1000 instances, incorporating critical transaction features such as transaction hash, block number, transaction fee and gas limit, with binary classification indicating fraudulent transactions. Meticulous preprocessing, including feature engineering and data splitting for training and testing, is conducted. Visualization techniques, including seaborn-based graphs, correlation plots and violin plots, elucidate the dataset's characteristics. Additionally, a spring colormap correlation map enhances the understanding of feature relationships. Transaction fee distributions before and after preprocessing are visually presented, highlighting the impact of data preparation. We introduce the novel transact-hybrid classifier (THC) with detailed mathematical equations, emphasising its contribution to transactional fraud detection. The classifier integrates SVM, KNN and RF outputs using an exclusive OR operation, showcasing innovation in model development. To evaluate model performance, we conduct a comparative analysis, incorporating SVM, KNN, RF and a voting classifier. Bar plots for accuracy, precision, recall and F1 score, with a custom plasma colormap, offer a visual summary of each model's metrics. Furthermore, a receiver operating characteristics (ROC) curve analysis is presented, highlighting the area under the curve (AUC) for SVM, KNN, RF and voting models, providing a comprehensive view of their performance in distinguishing between true positive and false positive rates. Our proposed method demonstrates over 99% efficacy in fraud detection, underscoring its potential impact in transaction analysis.","2025","2025-10-26 22:28:58","2025-10-26 22:28:58","","","","1","2025","","","","","","","","WILEY","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Type: Article","","/Users/damaral/Zotero/storage/8HPHDGE5/Alutaibi - 2025 - Blockchain Analytics Based on Artificial Intelligence Using Machine Learning for Improved Transacti.pdf","","machine learning; SVM; fraud detection; artificial intelligence; blockchain analytics; data visualization; KNN; RF; transaction analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
